id time dist FAR BNS NSBH BBH Terrestrial MassGap "50% area" "90% area"
S200316bj 2458925.415416667 1222.053958608715 7.097927900647732e-11 0.0 0.0 0.0 0.0042632481231397335 0.9957367518768603 0.0 1117.0
S200311bg 2458919.999409722 924.038047662503 8.939389834076341e-26 0.0 0.0 1.0 3.957845782800725e-17 0.0 0.0 52.0
S200302c 2458910.582337963 1737.414538479503 9.349090689402942e-09 0.0 0.0 0.8895532192171397 0.11044678078286028 0.0 0.0 6704.0
S200225q 2458904.753287037 1233.503493389387 9.185882942507167e-09 0.0 0.0 0.956615382408314 0.043384617591685916 0.0 0.0 668.0
S200224ca 2458904.432523148 1584.845478380642 1.605001952720385e-11 0.0 0.0 0.9999661482806994 3.3851719300562525e-05 0.0 0.0 71.0
S200219ac 2458898.936423611 1510.201949004476 1.330369253742417e-08 0.0 0.0 0.9639509303256759 0.036049069674323996 0.0 0.0 1251.0
S200213t 2458892.674363426 223.5491691009208 1.766938117007298e-08 0.6294647820782254 0.0 0.0 0.3705352179217746 0.0 0.0 2587.0
S200208q 2458888.0428125 2899.781645666744 2.51757e-09 0.0 0.0 0.9933572877775813 0.006642712222418768 0.0 0.0 1120.0
S200129m 2458877.7886805558 908.4386811451134 6.69747756980556e-32 0.0 0.0 1.0 2.001409874324742e-24 0.0 0.0 53.0
S200128d 2458876.5976388888 4031.106685175951 1.647123837966802e-08 0.0 0.0 0.9689893855709366 0.03101061442906329 0.0 0.0 2521.0
S200115j 2458863.683101852 330.6850248058295 2.094357933916521e-11 0.0 0.0 0.0 0.00028926609761705283 0.999710733902383 0.0 908.0
S200114f 2458862.591111111 0.0 1.22642e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0
S200112r 2458861.1660416666 1136.255139536576 1.282984625256763e-11 0.0 0.0 0.999662525751951 0.0003374742480489439 0.0 0.0 6199.0
S200105ae 2458854.1839467594 265.0966291797101 7.671711717426704e-07 0.0 0.027314790274662635 0.0 0.9726852097253373 0.0 0.0 7719.0
S191222n 2458839.649976852 867.6988905334384 6.459095209599878e-12 0.0 0.0 0.9999615645907594 3.843540924067064e-05 0.0 0.0 2324.0
S191216ap 2458834.398622685 324.1180263050961 1.130322152639973e-23 0.0 0.0 0.99074 8.427577149405988e-16 0.00926 0.0 300.0
S191215w 2458833.4383912035 2215.518605780816 1.006461740505195e-09 0.0 0.0 0.9972437806970309 0.002756219302969163 0.0 0.0 923.0
S191213g 2458830.691064815 194.8534882760236 3.548239591900263e-08 0.7679902931174528 0.0 0.0 0.23200970688254724 0.0 0.0 1393.0
S191205ah 2458823.4116203706 384.9666438643436 1.248392938196486e-08 0.0 0.9321022615375698 0.0 0.0678977384624302 0.0 0.0 6378.0
S191204r 2458822.219340278 677.5078953452689 3.069494596624494e-25 0.0 0.0 1.0 8.693174994081492e-18 0.0 0.0 103.0
S191129u 2458817.0704282406 763.2026570405178 2.650027704713234e-35 0.0 0.0 1.0 1.1631520283397163e-27 0.0 0.0 1011.0
S191109d 2458796.547060185 1810.148665494627 1.536770249900218e-13 0.0 0.0 0.9999978315450639 2.168454936083913e-06 0.0 0.0 0.0
S191105e 2458793.1081597223 1167.541422964793 2.282870905983868e-08 0.0 0.0 0.9531270521577467 0.046872947842253355 0.0 0.0 1297.0
S190930t 2458757.107291667 108.485191060567 1.543062383818042e-08 0.0 0.7426332120934503 0.0 0.2573667879065497 0.0 0.0 24220.0
S190930s 2458757.066712963 752.3721249388491 3.008303654663932e-09 0.0 0.0 0.0 0.049239341455555335 0.9507606585444447 0.0 1998.0
S190924h 2458750.5968171298 513.9108837536106 8.92798108334637e-19 0.0 0.0 0.0 4.7448363555096055e-11 0.9999999999525516 0.0 515.0
S190923y 2458750.0391435185 438.0859633620875 4.782994221788215e-08 0.0 0.6778160323909137 0.0 0.32218396760908624 0.0 0.0 2107.0
S190915ak 2458742.4982060185 1557.213081447843 9.735230021229358e-10 0.0 0.0 0.9947240943562324 0.005275905643767662 0.0 0.0 528.0
S190910h 2458736.854409722 241.4503833921153 3.584486199848131e-08 0.6122223156457945 0.0 0.0 0.38777768435420557 0.0 0.0 24226.0
S190910d 2458736.5601273146 606.3435871805949 3.717179897222422e-09 0.0 0.9758992607791811 0.0 0.02410073922081891 0.0 0.0 3829.0
S190901ap 2458728.480138889 242.2036530453888 7.027203369739002e-09 0.8606719595294022 0.0 0.0 0.13932804047059777 0.0 0.0 13613.0
S190828l 2458723.78849537 1609.302189842906 4.629111271637586e-11 0.0 0.0 0.9995922337084923 0.00040776629150766214 0.0 0.0 948.0
S190828j 2458723.7738541667 1802.532924366388 8.473971667788132e-22 0.0 0.0 0.9999999999999625 3.755830142670862e-14 0.0 0.0 587.0
S190814bv 2458710.382847222 275.5876212385998 2.032625014217899e-33 0.0 0.99789 0.0 0.0 0.00211 0.0 38.0
S190728q 2458692.7815625 794.5238854800473 2.526792153434741e-23 0.0 0.14355658101054258 0.3399540053535304 3.6314366737970226e-13 0.5164894136355638 0.0 543.0
S190727h 2458691.752673611 1103.592431687749 1.378206643924188e-10 0.0 0.0018218054046704529 0.9221145055866691 0.04782479210325575 0.028238896905404622 0.0 841.0
S190720a 2458684.5061689815 1070.891169433053 3.801055010692621e-09 0.0 0.0 0.9892518935789407 0.010748106421059389 0.0 0.0 1461.0
S190718y 2458683.1080324072 226.628613378479 3.648448980026234e-08 0.020684428406639012 0.0 0.0 0.979315571593361 0.0 0.0 7246.0
S190707q 2458671.898425926 809.8271307721365 5.264777e-12 0.0 0.0 0.9999888956018348 1.1104398165165475e-05 0.0 0.0 1375.0
S190706ai 2458671.4353819443 5725.055292926316 1.900527505346311e-09 0.0 0.0 0.9897847948922165 0.01021520510778357 0.0 0.0 1100.0
S190701ah 2458666.356527778 1044.739635200815 1.9155375553236e-08 0.0 0.0 0.9343726470007988 0.06562735299920121 0.0 0.0 67.0
S190630ag 2458665.286435185 1059.019786588303 1.435335623406803e-13 0.0 0.005238684052460305 0.942704866217379 1.791558679043542e-07 0.05205627057429282 0.0 8493.0
S190602aq 2458637.2498958334 797.3368395815085 1.90052750534631e-09 0.0 0.0 0.9903354557616737 0.009664544238326342 0.0 0.0 1172.0
S190521r 2458624.8224768518 1136.130182737027 3.16754584224385e-10 0.0 0.0 0.9993323440548098 0.0006676559451902493 0.0 0.0 488.0
S190521g 2458624.6269560186 662.5815941269577 3.80105501069262e-09 0.0 0.0 0.9658820317421758 0.03411796825782411 0.0 0.0 1163.0
S190519bj 2458623.1500462964 3153.537817294121 5.70158251603893e-09 0.0 0.0 0.9558246689883805 0.044175331011619606 0.0 0.0 967.0
S190517h 2458620.7440162036 2950.003609122326 2.37290998502297e-09 0.0 0.0007654724897404688 0.9825491254464057 4.288766413880714e-05 0.016642514399714967 0.0 939.0
S190513bm 2458617.371388889 1987.049949542683 3.73400311637121e-13 0.0 0.005238684676731566 0.9427049785554299 5.999022568063813e-08 0.05205627677761285 0.0 691.0
S190512at 2458616.255347222 1330.935419251897 1.90052750534631e-09 0.0 0.0 0.9898840141807154 0.010115985819284745 0.0 0.0 399.0
S190510g 2458613.625034722 0.0 8.83356915730392e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0
S190503bf 2458607.287800926 421.1083077868971 1.63611159503614e-09 0.0 0.004733723851664969 0.9628101949990394 0.00012483474899949398 0.032331246400296075 0.0 448.0
S190426c 2458600.140451389 422.713674554723 1.94694181763355e-08 0.24374396035858117 0.06390711264631674 0.0 0.5750419467279759 0.11730698026712613 0.0 1932.0
